topic	weight	words
0	0,00421	wijl ongebonden zen zwijk zwak tgun gunnen toen evoë minn gemoed michi tibi wen leonora koom evoẽ zie trou zing 
1	0,08055	gheen ghelijck gheven soud waar waer iae zieden weet haer ding heel sijn maken zegenen oft sou zelf hart zin 
2	0,03143	nog zeer dog mede worden heb spreken magge zoo gelijk toen ben land hoord pleizier leggen dagen weg twee geld 
3	0,03119	kusje mond kussen kus ach lipje lust lusjes lippen zieltje kom venus eens kust ziel lief weer vreugde roosje rood 
4	0,06999	god gods ziel nooit worden eeuwig waar zoon zeer heil eens ten zich dood magge wezen weg zult alles jezus 
5	0,0454	vreugde twee wens bruydt bruydegom trouw bruyt vrede paar echt liefde geluk vrouw feest samen band bruyloft man beiden bruyd 
6	0,01664	dijn godt end syn dies woort heere volck dijnen siel noot eewich christ over doot loff enten godes helpen menschen 
7	0,05017	lief liefde hart troost hert pijn minnen venus reen vreugde princesse enten zwaar deur waar klaar eerbaar dienaar/diener wees heel 
8	0,04079	wijn drinken eens laet vrolijk bier lustig glas nat bacchus wyn maken vol brengen vat schenk bachus edel schenken vreugde 
9	0,0643	liefde hert lieven hart beminnen lief min liefd ziel minnen zin alleen brand kracht blijven vier deugd binnen waard wees 
10	0,09717	ben heb mijnen och waar mijne lang alleen weet toe wees hert maken kom spreken vrij zieden hand noden soud 
11	0,00808	hun godt geven waar vreugde kwaad vrome wees gods eeuwig dood weer nooit licht deese dit oock staat sal naar 
12	0,01675	volk doe israel gods land zee moyses water maken egypten pharao worden onder moses brengen wier tegen stad voeren steen 
13	0,04747	min nog zoo myn eens zoete dog nooit liefde zinnen leggen smart zien zal ach beminnen ziel zeer alleen zonder 
14	0,02864	god hemels maria moeder maeght godes soon wezen haer groeten ziel grond deugd bidden vrouw waer hof aard hoog och 
15	0,00135	dobbe vive alleluja geus qui dop nobis cum dob non rex nos iesv zit quàm gloriae gloria iesu quem hic 
16	0,02976	godt gods god mens kwaad gheen zonde hert waard wet recht zelf deugd zond straf heeren sijn noden geven zondaar 
17	0,12612	ziel hert hart ben smart kracht troost ach lust ten waar rust heb vinden eens hoog steeds toe hoop lang 
18	0,00502	lieven liefd armen gunst blijk uwent aensiet zijd liefde nemen oorlof kunnen leden vvt tonen d'armen dees onder bloem bestaan 
19	0,00265	mof couragie kwee koop brunette dragen toe suizen bogaert langeur und quickmen molenaar kom hans kleur wijd bagazie pij sloep 
20	0,01831	n't die't op't voor't door't vlieden sal't licht syn als't vinden twelck hetgeen hy't tgeen ghy't wanneer haast zacht vanden 
21	0,12319	vijand macht geweld strijd tegen hand sterk kracht vrij brengen strijden veld hulp zwaard vast onder bloed handen vallen vrees 
22	0,02618	zee schip wind baren winden water woeste land varen stroom storm golven baar klip strand diep drijven haven vlieden onweer 
23	0,03589	zoo zeer zich god zonder waar zelfs wezen kwaad zien staat zal mens zenden vinden ziet zult nooit gelijk zinnen 
24	0,05563	lijden kruis druk zwaar troost lijd strijd verblijden leed pijn verdriet vlees dragen einde noot ten vreugde leiden tijd kwaad 
25	0,03949	vrij vrijen eens krijgen spelen deur maken mede zieden ander dag oud gaet fraai loop gelijk jong vryers daerom best 
26	0,0119	kerk goods waard heyligt deur christus godes nieuw christen vlees geloof weer toch aen dit eerst toe hen min ziel 
27	0,00152	uwz fen god gunnen toe mei him naad sil uwt dear ijn hert ney oer for goads trog ynn wol 
28	0,02656	jij kom heb och nauw eens meysje vrij ben nou mede weer neen waar hey besje jou loop weet iou 
29	0,00761	vvant vvat vvilt n't vvil vvaer vvie med vvanneer uvven deur ten wezen phyllis vvel weder vvaerom vul corydon t'saem 
30	0,00271	baard droefheid hond hondt welcke welke proper stront altoos smelt canneken ras ginck susanna goud vaste zuiver wier water straten 
31	0,0062	neen boire evoe celestyn celestyne maagd toen boezem diaan schöne langs minnaar zinnen fidamant hartje maagden dianier vin lipjes karn 
32	0,01189	iesus roepen maria moeder spreken och hart lief lijden iesu iesum minnen zijd sijn martha kruis soon zieden vader hoog 
33	0,00487	mede hoofd baard vrede dauw broeder fijn siet schier sohay hermon klooster vloeien kunst velt balsem kalissen winnen bon elkander 
